id,LastName,FirstName,DaysSinceLastActivity,Active,EMPLID,status,Course,Year,Note,Change,Bottom,Tutor,PlanCode,Programme,FeeStatus,PartTime,PrevInterrupted,Tier4,Withdrawn,Resits,Repeating,Interrupted,RemoteStudy,Placement
20,Richard,Brian,1,4712,22057386,Registered,U6UMTHPY - BSc Hons Mathematical Physics,1,,,,Lord,U6UMTHPY ,BSc Hons Mathematical Physics,,,,,,,,,,
21,Kevin,Broadbent,1,2554,22704345,Registered,U7UPHYSC - MSci Hons Physics,1,,,,Loughlin,U7UPHYSC ,MSci Hons Physics,,,,,,,,,,
22,David,Brown,1,1064,22105821,Registered,U6UPHYPL - BSc Jt Hons Physics and Philosophy,1,,,,Ly,U6UPHYPL ,BSc Jt Hons Physics and Philosophy,,,,,,,,,,
23,Karen,Brown,1,1631,22208324,Registered,U6UPHYSC - BSc Hons Physics,1,,,,Mann,U6UPHYSC ,BSc Hons Physics,,,,,,,,,,
24,Catherine,Buckley,1,2295,22023102,Registered,U6UPHYSC - BSc Hons Physics,1,,,,McGowan,U6UPHYSC ,BSc Hons Physics,,,,,,,,,,
25,John,Buckley,1,2082,22166022,Registered,U6UPHYSC - BSc Hons Physics,1,,,,Mussell,U6UPHYSC ,BSc Hons Physics,,,,,,,,,,
26,John,Burgess,1,968,22544736,Registered,U6UPHYSC - BSc Hons Physics,1,,,,Pearson,U6UPHYSC ,BSc Hons Physics,,,,,,,,,,
27,Jeffrey,Butler,1,1849,22677810,Registered,U7UPHYMP - MSci Hons Physics with Medical Physics,1,,,,Phillips,U7UPHYMP ,MSci Hons Physics with Medical Physics,,,,,,,,,,
28,Guy,Butterfield,1,2325,22140273,Registered,U7UPHYSC - MSci Hons Physics,1,,,,Robinson,U7UPHYSC ,MSci Hons Physics,,,,,,,,,,
29,Amber,Byrne,1,1710,22822360,Registered,U7UPHYSC - MSci Hons Physics,1,,,,Rundlett,U7UPHYSC ,MSci Hons Physics,,,,,,,,,,
30,Cheryl,Carr,1,3111,22775919,Registered,U6UPHYAS - BSc Hons Physics with Astronomy,1,,,,Sales,U6UPHYAS ,BSc Hons Physics with Astronomy,,,,,,,,,,
31,Kenneth,Carroll,1,2513,22367139,Registered,U7UPHYTA - MSci Hons Physics with Theoretical Astrophysics,1,,,,Schroder,U7UPHYTA ,MSci Hons Physics with Theoretical Astrophysics,,,,,,,,,,
32,Lynda,Carter,1,1895,22572546,Registered,U7UPHYTP - MSci Hons Physics with Theoretical Physics,1,,,,Shaw,U7UPHYTP ,MSci Hons Physics with Theoretical Physics,,,,,,,,,,
33,Nicholas,Carter,1,2215,22581155,Registered,U6UPHYSC - BSc Hons Physics,1,,,,Storey,U6UPHYSC ,BSc Hons Physics,,,,,,,,,,
34,Graeme,Chambers,1,3376,22428267,Registered,U7UPHYSC - MSci Hons Physics,1,,,,Thompson,U7UPHYSC ,MSci Hons Physics,,,,,,,,,,
35,Carol,Chandler,1,1719,22304883,Registered,U7UPHYMP - MSci Hons Physics with Medical Physics,1,,,,Thomson,U7UPHYMP ,MSci Hons Physics with Medical Physics,,,,,,,,,,
36,Paul,Clark,1,1765,22955886,Registered,U7UPHYSC - MSci Hons Physics,1,,,,Turner,U7UPHYSC ,MSci Hons Physics,,,,,,,,,,
37,Maureen,Clarke,1,5660,22088953,Registered,U6UMTHPY - BSc Hons Mathematical Physics,1,,,,White,U6UMTHPY ,BSc Hons Mathematical Physics,,,,,,,,,,
38,Matthew,Clements,1,2036,22055092,Registered,U7UPHYSC - MSci Hons Physics,1,,,,Whiteley,U7UPHYSC ,MSci Hons Physics,,,,,,,,,,
39,Ernest,Cole,1,6858,22952557,Registered,U7UMTHPY - MSci Hons Mathematical Physics,1,,,,Wright,U7UMTHPY ,MSci Hons Mathematical Physics,,,,,,,,,,
40,Gary,Collins,1,2408,22437879,Registered,U6UPHYSC - BSc Hons Physics,1,,,,Yu,U6UPHYSC ,BSc Hons Physics,,,,,,,,,,
41,Donna,Conroy,1,3794,22411754,Registered,U7UPHYYI - MSci Hons Physics with a Year in Industry,1,,,,Barron,U7UPHYYI ,MSci Hons Physics with a Year in Industry,,,,,,,,,,
42,James,Corbett,1,3630,22414666,Registered,U7UPHYSC - MSci Hons Physics,1,,,,Bos,U7UPHYSC ,MSci Hons Physics,,,,,,,,,,
43,Vikki,Cotton,1,1968,22844004,Registered,U7UPHYSC - MSci Hons Physics,1,,,,Brum,U7UPHYSC ,MSci Hons Physics,,,,,,,,,,
44,David,Cowie,1,3431,22847751,Registered,U7UPHYAS - MSci Hons Physics with Astronomy,1,,,,Burns,U7UPHYAS ,MSci Hons Physics with Astronomy,,,,,,,,,,
45,Anthony,Davies,1,3500,22100802,Registered,U6UPHYPL - BSc Jt Hons Physics and Philosophy,1,,,,Charles,U6UPHYPL ,BSc Jt Hons Physics and Philosophy,,,,,,,,,,
46,Colette,Davies,1,1912,22404548,Registered,U7UPHYSC - MSci Hons Physics,1,,,,Clair,U7UPHYSC ,MSci Hons Physics,,,,,,,,,,
47,Lesley,Davies,1,3008,22943782,Registered,U7UPHYTA - MSci Hons Physics with Theoretical Astrophysics,1,,,,Felix,U7UPHYTA ,MSci Hons Physics with Theoretical Astrophysics,,,,,,,,,,
48,Catherine,Davis,1,2327,22088984,Registered,U6UPHYYI - BSc Hons Physics with a Year in Industry,1,,,,Fielding,U6UPHYYI ,BSc Hons Physics with a Year in Industry,,,,,,,,,,
49,Trevor,Dolby,1,1806,22373422,Registered,U7UPHYSC - MSci Hons Physics,1,,,,Foreman,U7UPHYSC ,MSci Hons Physics,,,,,,,,,,
50,Lloyd,Douglas,1,1431,22361990,Registered,U6UPHYSC - BSc Hons Physics,1,,,,Hampson,U6UPHYSC ,BSc Hons Physics,,,,,,,,,,
51,Margot,Dunn,1,4638,22020227,Registered,U7UMTHPY - MSci Hons Mathematical Physics,1,,,,Hannay,U7UMTHPY ,MSci Hons Mathematical Physics,,,,,,,,,,
52,Christopher,Earnshaw,1,4092,22936767,Registered,U7UMTHPY - MSci Hons Mathematical Physics,1,,,,Hanton,U7UMTHPY ,MSci Hons Mathematical Physics,,,,,,,,,,
53,Peter,Eaton,1,1247,22183773,Registered,U7UPHYSC - MSci Hons Physics,1,,,,Harkness,U7UPHYSC ,MSci Hons Physics,,,,,,,,,,
54,Maureen,Ebrahimi,1,2214,22860795,Registered,U7UPHYSC - MSci Hons Physics,1,,,,Hoang,U7UPHYSC ,MSci Hons Physics,,,,,,,,,,
55,Stephen,Elliott,1,2572,22869802,Registered,U7UPHYTP - MSci Hons Physics with Theoretical Physics,1,,,,Hull,U7UPHYTP ,MSci Hons Physics with Theoretical Physics,,,,,,,,,,
56,Julian,Ewing,1,2695,22094327,Registered,U7UPHYAS - MSci Hons Physics with Astronomy,1,,,,Hurley,U7UPHYAS ,MSci Hons Physics with Astronomy,,,,,,,,,,
57,Gary,Few,1,1285,22130589,Registered,U7UPHYSC - MSci Hons Physics,1,,,,Hussain,U7UPHYSC ,MSci Hons Physics,,,,,,,,,,
58,Sheila,Finegan,1,1495,22781279,Registered,U6UPHYSC - BSc Hons Physics,1,,,,Lee,U6UPHYSC ,BSc Hons Physics,,,,,,,,,,
59,Martin,Fisk,1,3117,22415633,Registered,U7UPHYTP - MSci Hons Physics with Theoretical Physics,1,,,,Lopes,U7UPHYTP ,MSci Hons Physics with Theoretical Physics,,,,,,,,,,
60,Clive,Forshaw,1,2316,22853646,Registered,U7UPHYTA - MSci Hons Physics with Theoretical Astrophysics,1,,,,Lord,U7UPHYTA ,MSci Hons Physics with Theoretical Astrophysics,,,,,,,,,,
61,Paul,Gallagher,1,2601,22411686,Registered,U7UPHYAS - MSci Hons Physics with Astronomy,1,,,,Loughlin,U7UPHYAS ,MSci Hons Physics with Astronomy,,,,,,,,,,
62,Adi,Gil,1,2543,22262824,Registered,U7UPHYSC - MSci Hons Physics,1,,,,Ly,U7UPHYSC ,MSci Hons Physics,,,,,,,,,,
63,Raminderjit,Gill,1,4908,22642592,Registered,U7UMTHPY - MSci Hons Mathematical Physics,1,,,,Mann,U7UMTHPY ,MSci Hons Mathematical Physics,,,,,,,,,,
64,Peter,Glover,1,1297,22609657,Registered,U6UPHYTA - BSc Hons Physics with Theoretical Astrophysics,1,,,,McGowan,U6UPHYTA ,BSc Hons Physics with Theoretical Astrophysics,,,,,,,,,,
65,Lindsay,Godson,1,2082,22143081,Registered,U6UMTHPY - BSc Hons Mathematical Physics,1,,,,Mussell,U6UMTHPY ,BSc Hons Mathematical Physics,,,,,,,,,,
66,Steven,Gourley,1,6512,22292995,Registered,U6UMTHPY - BSc Hons Mathematical Physics,1,,,,Pearson,U6UMTHPY ,BSc Hons Mathematical Physics,,,,,,,,,,
67,Wilhelm,Goy,1,2234,22007626,Registered,U6UPHYSC - BSc Hons Physics,1,,,,Phillips,U6UPHYSC ,BSc Hons Physics,,,,,,,,,,
68,Emily,Grice,1,2301,22328929,Registered,U6UPHYSC - BSc Hons Physics,1,,,,Robinson,U6UPHYSC ,BSc Hons Physics,,,,,,,,,,
69,Ian,Hale,1,2039,22347026,Registered,U7UPHYELY - MSci Hons Physics with European Language,1,,,,Rundlett,U7UPHYELY ,MSci Hons Physics with European Language,,,,,,,,,,
70,Rachel,Hall,1,2198,22747501,Registered,U7UPHYTA - MSci Hons Physics with Theoretical Astrophysics,1,,,,Sales,U7UPHYTA ,MSci Hons Physics with Theoretical Astrophysics,,,,,,,,,,
71,Cathal,Hamill,1,2995,22564349,Registered,U6UPHYSC - BSc Hons Physics,1,,,,Schroder,U6UPHYSC ,BSc Hons Physics,,,,,,,,,,
72,James,Hamilton,1,3415,22984775,Registered,U6UPHYAS - BSc Hons Physics with Astronomy,1,,,,Shaw,U6UPHYAS ,BSc Hons Physics with Astronomy,,,,,,,,,,
73,Anita,Harvey,1,1404,22629588,Registered,U6UPHYSC - BSc Hons Physics,1,,,,Storey,U6UPHYSC ,BSc Hons Physics,,,,,,,,,,
74,David,Hawker,1,2857,22826868,Registered,U7UPHYNA - MSci Hons Physics with Nanoscience,1,,,,Thompson,U7UPHYNA ,MSci Hons Physics with Nanoscience,,,,,,,,,,
75,Andrew,Henderson,1,2091,22841356,Registered,U7UPHYSC - MSci Hons Physics,1,,,,Thomson,U7UPHYSC ,MSci Hons Physics,,,,,,,,,,
76,Brian,Hildreth,1,8258,22984560,Registered,U7UMTHPY - MSci Hons Mathematical Physics,1,,,,Turner,U7UMTHPY ,MSci Hons Mathematical Physics,,,,,,,,,,
77,Janet,Hill,1,6028,22950959,Registered,U6UMTHPY - BSc Hons Mathematical Physics,1,,,,White,U6UMTHPY ,BSc Hons Mathematical Physics,,,,,,,,,,
78,Nicola,Hobbs,1,1363,22753381,Registered,U7UPHYELY - MSci Hons Physics with European Language,1,,,,Whiteley,U7UPHYELY ,MSci Hons Physics with European Language,,,,,,,,,,
79,Lesley,Hubbard,1,6280,22798129,Registered,U6UMTHPY - BSc Hons Mathematical Physics,1,,,,Wright,U6UMTHPY ,BSc Hons Mathematical Physics,,,,,,,,,,
80,Antonia,Humphreys,1,639,22179693,Registered,U6UPHYTP - BSc Hons Physics with Theoretical Physics,1,,,10,Yu,U6UPHYTP ,BSc Hons Physics with Theoretical Physics,,,,,,,,,,
81,Simon,Hurd,1,8850,22755959,Registered,U7PMLSCI - MSc Machine Learning in Science,1,,,,Barron,U7PMLSCI ,MSc Machine Learning in Science,,,,,,,,,,
82,Julian,Husselbee,1,1641,22259081,Registered,U7UPHYSC - MSci Hons Physics,1,,,,Bos,U7UPHYSC ,MSci Hons Physics,,,,,,,,,,
83,Selina,Ingram,1,2037,22838923,Registered,U6UPHYSC - BSc Hons Physics,1,,,,Brum,U6UPHYSC ,BSc Hons Physics,,,,,,,,,,
84,Mohammad,Iqbal,1,2443,22835924,Registered,U6UPHYSC - BSc Hons Physics,1,,,,Burns,U6UPHYSC ,BSc Hons Physics,,,,,,,,,,
85,John,Irvine,1,2945,22887054,Registered,U6UPHYSC - BSc Hons Physics,1,,,,Charles,U6UPHYSC ,BSc Hons Physics,,,,,,,,,,
86,Stephen,Jackson,1,2460,22379132,Registered,U6UPHYSC - BSc Hons Physics,1,,,,Clair,U6UPHYSC ,BSc Hons Physics,,,,,,,,,,
87,Priscilla,Jagger,1,6726,22745850,Registered,U7UMTHPY - MSci Hons Mathematical Physics,1,,,,Felix,U7UMTHPY ,MSci Hons Mathematical Physics,,,,,,,,,,
88,Kylee,Johnson,1,6836,22304097,Registered,U6UMTHPY - BSc Hons Mathematical Physics,1,,,,Fielding,U6UMTHPY ,BSc Hons Mathematical Physics,,,,,,,,,,
89,Sandra,Johnson,1,2688,22002537,Registered,U7UMTHPY - MSci Hons Mathematical Physics,1,,,,Foreman,U7UMTHPY ,MSci Hons Mathematical Physics,,,,,,,,,,
90,Yvonne,Johnson,1,1851,22874986,Registered,U7UPHYSC - MSci Hons Physics,1,,,,Hampson,U7UPHYSC ,MSci Hons Physics,,,,,,,,,,
91,Wayne,Johnson,1,2298,22459048,Registered,U6UPHYSC - BSc Hons Physics,1,,,,Hannay,U6UPHYSC ,BSc Hons Physics,,,,,,,,,,
92,Chantelle,Jones,1,2212,22375463,Registered,U7UPHYSC - MSci Hons Physics,1,,,,Hanton,U7UPHYSC ,MSci Hons Physics,,,,,,,,,,
93,Martyn,Jones,1,2123,22231495,Registered,U7UPHYELY - MSci Hons Physics with European Language,1,,,,Harkness,U7UPHYELY ,MSci Hons Physics with European Language,,,,,,,,,,
94,Gervais,Julie,1,1783,22981081,Registered,U6UPHYSC - BSc Hons Physics,1,,,,Hoang,U6UPHYSC ,BSc Hons Physics,,,,,,,,,,
95,Paul,Kent,1,2128,22343338,Registered,U7UPHYTP - MSci Hons Physics with Theoretical Physics,1,,,,Hull,U7UPHYTP ,MSci Hons Physics with Theoretical Physics,,,,,,,,,,
96,Faheem,Khan,1,2389,22338987,Registered,U6UPHYSC - BSc Hons Physics,1,,,,Hurley,U6UPHYSC ,BSc Hons Physics,,,,,,,,,,
97,Elizabeth,King,1,4310,22374835,Registered,U6UPHYYI - BSc Hons Physics with a Year in Industry,1,,,,Hussain,U6UPHYYI ,BSc Hons Physics with a Year in Industry,,,,,,,,,,
98,Roger,King,1,2330,22513640,Registered,U7UPHYSC - MSci Hons Physics,1,,,,Lee,U7UPHYSC ,MSci Hons Physics,,,,,,,,,,
99,Avril,Knowles,1,2988,22516415,Registered,U7UPHYTA - MSci Hons Physics with Theoretical Astrophysics,1,,,,Lopes,U7UPHYTA ,MSci Hons Physics with Theoretical Astrophysics,,,,,,,,,,
100,Chinmay,Kulkarni,1,1482,22880737,Registered,U6UPHYTP - BSc Hons Physics with Theoretical Physics,1,,,,Lord,U6UPHYTP ,BSc Hons Physics with Theoretical Physics,,,,,,,,,,
101,Dorothy,Laing,1,2214,22754523,Registered,U6UPHYTP - BSc Hons Physics with Theoretical Physics,1,,,,Loughlin,U6UPHYTP ,BSc Hons Physics with Theoretical Physics,,,,,,,,,,
102,Caroline,Lane,1,2944,22549195,Registered,U7UPHYAS - MSci Hons Physics with Astronomy,1,,,,Ly,U7UPHYAS ,MSci Hons Physics with Astronomy,,,,,,,,,,
103,Edna,Lawrance,1,2514,22020096,Registered,U7UPHYTA - MSci Hons Physics with Theoretical Astrophysics,1,,,,Mann,U7UPHYTA ,MSci Hons Physics with Theoretical Astrophysics,,,,,,,,,,
104,Josephine,Leigh,1,2384,22724082,Registered,U7UPHYSC - MSci Hons Physics,1,,,,McGowan,U7UPHYSC ,MSci Hons Physics,,,,,,,,,,
105,Glen,Light,1,2290,22280851,Registered,U7UPHYTA - MSci Hons Physics with Theoretical Astrophysics,1,,,,Mussell,U7UPHYTA ,MSci Hons Physics with Theoretical Astrophysics,,,,,,,,,,
106,Reginald,Lilley,1,6060,22701502,Registered,U6UMTHPY - BSc Hons Mathematical Physics,1,,,,Pearson,U6UMTHPY ,BSc Hons Mathematical Physics,,,,,,,,,,
107,Aimee,MacKay,1,3766,22987735,Registered,U7UMTHPY - MSci Hons Mathematical Physics,1,,,,Phillips,U7UMTHPY ,MSci Hons Mathematical Physics,,,,,,,,,,
108,Joanna,MacKintosh,1,2087,22118153,Registered,U7UPHYAS - MSci Hons Physics with Astronomy,1,,,,Robinson,U7UPHYAS ,MSci Hons Physics with Astronomy,,,,,,,,,,
109,Elizabeth,MacLean,1,1403,22684519,Registered,U6UPHYSC - BSc Hons Physics,1,,,,Rundlett,U6UPHYSC ,BSc Hons Physics,,,,,,,,,,
110,Sally,Maddison,1,2332,22643901,Registered,U7UPHYELY - MSci Hons Physics with European Language,1,,,,Sales,U7UPHYELY ,MSci Hons Physics with European Language,,,,,,,,,,
111,Michael,Maddock,1,2360,22799674,Registered,U6UPHYAS - BSc Hons Physics with Astronomy,1,,,,Schroder,U6UPHYAS ,BSc Hons Physics with Astronomy,,,,,,,,,,
112,David,Mann,1,978,22004648,Registered,U7UMTHPY - MSci Hons Mathematical Physics,1,Persistently under-engaged,,,Shaw,U7UMTHPY ,MSci Hons Mathematical Physics,,,,,,,,,,
113,Brad,Mansfield,1,3396,22160395,Registered,U6UPHYPL - BSc Jt Hons Physics and Philosophy,1,,,,Storey,U6UPHYPL ,BSc Jt Hons Physics and Philosophy,,,,,,,,,,
114,John,Mather,1,2950,22968512,Registered,U7PMLSCI - MSc Machine Learning in Science,1,,,,Thompson,U7PMLSCI ,MSc Machine Learning in Science,,,,,,,,,,
115,Scott,Mather,1,1786,22744979,Registered,U6UPHYSC - BSc Hons Physics,1,,,,Thomson,U6UPHYSC ,BSc Hons Physics,,,,,,,,,,
116,Olivia,McMenamin,1,6160,22268849,Registered,U7PMLSCI - MSc Machine Learning in Science,1,,,,Turner,U7PMLSCI ,MSc Machine Learning in Science,,,,,,,,,,
117,Katharine,Mellors,1,8060,22375192,Registered,U7PMLSCI - MSc Machine Learning in Science,1,,,,White,U7PMLSCI ,MSc Machine Learning in Science,,,,,,,,,,
118,Geoffrey,Miles,1,2600,22389765,Registered,U7PMLSCI - MSc Machine Learning in Science,1,,,,Whiteley,U7PMLSCI ,MSc Machine Learning in Science,,,,,,,,,,
119,Ben,Millard,1,2905,22097622,Registered,U7PMLSCI - MSc Machine Learning in Science,1,,,,Wright,U7PMLSCI ,MSc Machine Learning in Science,,,,,,,,,,
120,Gerard,Mills,1,4625,22824993,Registered,U7PMLSCI - MSc Machine Learning in Science,1,,,,Yu,U7PMLSCI ,MSc Machine Learning in Science,,,,,,,,,,
121,Jody,Milton,1,11470,22598683,Registered,U7UMTHPY - MSci Hons Mathematical Physics,1,,,,Barron,U7UMTHPY ,MSci Hons Mathematical Physics,,,,,,,,,,
122,Sarah,Mitchell,1,537,22784613,Registered,U6UPHYSC - BSc Hons Physics,2,,,10,Bos,U6UPHYSC ,BSc Hons Physics,,,,,,,,,,
123,Anthony,Moone,1,3214,22305169,Registered,U7UMTHPY - MSci Hons Mathematical Physics,2,,,,Brum,U7UMTHPY ,MSci Hons Mathematical Physics,,,,,,,,,,
124,Elizabeth,Moore,1,2235,22855186,Registered,U7UPHYTA - MSci Hons Physics with Theoretical Astrophysics,2,,,,Burns,U7UPHYTA ,MSci Hons Physics with Theoretical Astrophysics,,,,,,,,,,
125,Graham,Moore,1,941,22624265,Registered,U7UPHYSC - MSci Hons Physics,2,,,,Charles,U7UPHYSC ,MSci Hons Physics,,,,,,,,,,
126,Elizabeth,Morgan,1,1224,22472001,Registered,U6UPHYSC - BSc Hons Physics,2,,,,Clair,U6UPHYSC ,BSc Hons Physics,,,,,,,,,,
127,Douglas,Morrison,1,2270,22661065,Registered,U7UPHYMP - MSci Hons Physics with Medical Physics,2,,,,Felix,U7UPHYMP ,MSci Hons Physics with Medical Physics,,,,,,,,,,
128,David,Muirhead,1,4370,22927194,Registered,U7UMTHPY - MSci Hons Mathematical Physics,2,,,,Fielding,U7UMTHPY ,MSci Hons Mathematical Physics,,,,,,,,,,
129,Carole,Murray,1,438,22939447,Registered,U7UPHYTP - MSci Hons Physics with Theoretical Physics,2,,,10,Foreman,U7UPHYTP ,MSci Hons Physics with Theoretical Physics,,,,,,,,,,
130,Barry,Musgrove,1,3750,22114981,Registered,U6UMTHPY - BSc Hons Mathematical Physics,2,,,,Hampson,U6UMTHPY ,BSc Hons Mathematical Physics,,,,,,,,,,
131,Shelley,Naughton,1,2297,22342943,Registered,U6UPHYTA - BSc Hons Physics with Theoretical Astrophysics,2,,,,Hannay,U6UPHYTA ,BSc Hons Physics with Theoretical Astrophysics,,,,,,,,,,
132,Raymond,Neaves,1,1429,22265442,Registered,U7UPHYTP - MSci Hons Physics with Theoretical Physics,2,,,,Hanton,U7UPHYTP ,MSci Hons Physics with Theoretical Physics,,,,,,,,,,
133,Alan,Newport,1,2295,22674149,Registered,U6UPHYMP - BSc Hons Physics with Medical Physics,2,,,,Harkness,U6UPHYMP ,BSc Hons Physics with Medical Physics,,,,,,,,,,
134,Glen,Newton,1,1322,22223162,Registered,U7UPHYSC - MSci Hons Physics,2,,,,Hoang,U7UPHYSC ,MSci Hons Physics,,,,,,,,,,
135,Darrel,Nicholson,1,1324,22460553,Registered,U7UPHYSC - MSci Hons Physics,2,,,,Hull,U7UPHYSC ,MSci Hons Physics,,,,,,,,,,
136,Christopher,Nickson,1,2166,22963107,Registered,U7UPHYSC - MSci Hons Physics,2,,,,Hurley,U7UPHYSC ,MSci Hons Physics,,,,,,,,,,
137,Kellie,Parker,1,572,22709801,Registered,U6UPHYSC - BSc Hons Physics,2,,,10,Hussain,U6UPHYSC ,BSc Hons Physics,,,,,,,,,,
138,Geoffrey,Parmenter,1,1266,22910547,Registered,U6UPHYTP - BSc Hons Physics with Theoretical Physics,2,,,,Lee,U6UPHYTP ,BSc Hons Physics with Theoretical Physics,,,,,,,,,,
139,Nora,Peake,1,1795,22778789,Registered,U7UPHYSC - MSci Hons Physics,2,,,,Lopes,U7UPHYSC ,MSci Hons Physics,,,,,,,,,,
140,Leonard,Pearce,1,2696,22923495,Registered,U6UPHYTP - BSc Hons Physics with Theoretical Physics,2,,,,Lord,U6UPHYTP ,BSc Hons Physics with Theoretical Physics,,,,,,,,,,
141,Caroline,Pearson,1,2327,22139783,Registered,U7UPHYSC - MSci Hons Physics,2,,,,Loughlin,U7UPHYSC ,MSci Hons Physics,,,,,,,,,,
142,Anne,Pratt,1,2393,22503789,Registered,U7UPHYSC - MSci Hons Physics,2,,,,Ly,U7UPHYSC ,MSci Hons Physics,,,,,,,,,,
143,Stephen,Price,1,1138,22094917,Registered,U7UPHYSC - MSci Hons Physics,2,,,,Mann,U7UPHYSC ,MSci Hons Physics,,,,,,,,,,
144,Diane,Pring,1,1227,22153517,Registered,U7UPHYSC - MSci Hons Physics,2,,,,McGowan,U7UPHYSC ,MSci Hons Physics,,,,,,,,,,
145,Roger,Pritchett,1,2701,22705433,Registered,U7UPHYSC - MSci Hons Physics,2,,,,Mussell,U7UPHYSC ,MSci Hons Physics,,,,,,,,,,
146,Peter,Reeve,1,1657,22315296,Registered,U7UPHYSC - MSci Hons Physics,2,,,,Pearson,U7UPHYSC ,MSci Hons Physics,,,,,,,,,,
147,Alex,Reich,1,3832,22180972,Registered,U7UMTHPY - MSci Hons Mathematical Physics,2,,,,Phillips,U7UMTHPY ,MSci Hons Mathematical Physics,,,,,,,,,,
148,Walter,Reid,1,1330,22431689,Registered,U7UPHYSC - MSci Hons Physics,2,,,,Robinson,U7UPHYSC ,MSci Hons Physics,,,,,,,,,,
149,Tobias,Rice,1,2092,22552653,Registered,U6UPHYPL - BSc Jt Hons Physics and Philosophy,2,,,,Rundlett,U6UPHYPL ,BSc Jt Hons Physics and Philosophy,,,,,,,,,,
150,David,Richardson,1,1500,22597748,Registered,U7UPHYAS - MSci Hons Physics with Astronomy,2,,,,Sales,U7UPHYAS ,MSci Hons Physics with Astronomy,,,,,,,,,,
151,John,Richardson,1,893,22922222,Registered,U7UPHYELY - MSci Hons Physics with European Language,2,,,,Schroder,U7UPHYELY ,MSci Hons Physics with European Language,,,,,,,,,,
