FirstName,LastName,EMPLID,phone,DaysSinceLastActivity,Active,Change,Bottom,Engagement,Assignments,Year,Tutor,Course,PlanCode,Programme,FeeStatus,PartTime,PrevInterrupted,Tier4,Withdrawn,Resits,Repeating,Interrupted,RemoteStudy,Placement, View
Susan,Kahn,204673003,0390 705 9981,3,144,,,144,100,1,Bert Farbrother,L100 Economics BSc,U6UCSCMG,BSc Jt Hons Computer Science and Management,home,,,,,,,,,,
John,Quinn,267488682,0000 177 4120,3,144,,,144,100,2,Bobina Pargent,L100 Economics BSc,U6UCSCMG,BSc Jt Hons Computer Science and Management,home,,,,,,,,,,
Peter,Fraser,274885864,0582 474 5161,1,144,,,144,100,1,Hermon Cowland,GL11 Mathematics and Economics BSc,U6UCSCMG,BSc Jt Hons Computer Science and Management,home,,,,,,,,,,
June,McIvor,243453783,0301 026 8178,1,144,,,144,100,1,Vaughan Ormston,L100 Economics BSc,U6UCMPSC,BSc Hons Computer Science,home,,,,,,,,,,
Brian,Tomes,233311947,0536 308 7149,1,144,,,144,100,3,Paige Ivashnikov,L100 Economics BSc,U6UCMPAI,BSc Hons Computer Science with Artificial Intelligence,home,,,,,,,,,,
Dan,Brown,258414125,0676 406 7141,1,144,,,144,100,3,Franzen Kolakowski,LV15 Economics and Philosophy BA,U6UCSCMG,BSc Jt Hons Computer Science and Management,home,,yes,,,,,Interrupted,,,
Anthony,Bell,241603779,0220 921 7791,1,144,,,144,100,3,Syd Signore,VLL5A Philosophy Politics and Economics BA,U6UCSCMG,BSc Jt Hons Computer Science and Management,home,,,,,,,,,,
Emily,Jacobs,205210556,0596 219 9907,1,156,,,156,100,2,Trevor Cocksedge,GL11 Mathematics and Economics BSc,U6UCSCMG,BSc Jt Hons Computer Science and Management,home,,,,,,,,,,
Brenda,Campbell,226605275,0708 913 5318,1,156,,,156,100,3,Shaylyn Rockcliffe,L100 Economics BSc,U6UCMPSC,BSc Hons Computer Science,eu,,,,,,,,,,
Daniel,Cousins,228005566,0371 108 4129,1,156,,,156,100,3,Morry Wye,L100 Economics BSc,U6UCMPSC,BSc Hons Computer Science,eu,,,,,,,,,,
Patrick,Phee,201199280,0377 777 1018,1,156,,,156,100,1,Franzen Kolakowski,L100 Economics BSc,U6UCMPSC,BSc Hons Computer Science,home,,,,,,,,,,
