FirstName,LastName,EMPLID,phone,DaysSinceLastActivity,Engagement,Year,School,Course,FeeStatus,PartTime,PrevInterrupted,Tier4,Withdrawn,Resits,Repeating,Interrupted,RemoteStudy, View
Robert,Fletcher,256029746,0464 346 8674,2,55,2,Economics,L100 Economics BSc,int,,,Tier4,,,,,,
Alexander,Hinks,244506414,0418 780 8315,2,120,2,Economics,L160 Economics and International Economics BSc,int,,,Tier4,,,,,,
Allan,Lardner,239218474,0832 738 7725,2,50,1,Economics,L100 Economics BSc,int,,,Tier4,,,,,,
Peter,McGrath,214637536,0268 774 0670,2,55,2,Mathematics,GL11 Mathematics and Economics BSc,int,,,Tier4,,,,,,
Verity,Nalley,263595380,0951 944 7905,2,120,1,Mathematics,GL11 Mathematics and Economics BSc,int,,,Tier4,,,,,,
Rupert,Shaw,292770640,0706 496 4418,2,50,2,Economics,L160 Economics and International Economics BSc,int,,yes,Tier4,,,,,,
Jamie,Thomson,223932979,0037 723 4446,2,55,1,Economics,L100 Economics BSc,int,,,Tier4,,,,,,
John,Carberry,260876284,0879 133 2089,3,99,2,Economics,L100 Economics BSc,int,,,Tier4,,,,,,
Andrew,Cover,223603845,0983 669 9052,3,144,3,Mathematics,GL11 Mathematics and Economics BSc,int,,,Tier4,,,,,,
Anthony,Hopkins,298513748,0311 821 9919,3,99,1,Economics,LV15 Economics and Philosophy BA,int,,,Tier4,,,,,remote,
Susan,Kahn,204673003,0390 705 9981,3,144,1,Economics,L100 Economics BSc,int,,,,,,,,,
Jeanette,Parks,258131499,0009 298 7217,3,99,2,Economics,L160 Economics and International Economics BSc,int,,,Tier4,,,,,,
John,Quinn,267488682,0000 177 4120,3,144,2,Economics,L100 Economics BSc,int,,,Tier4,,,,,,
Paul,Donaldson,228094307,0031 115 2518,4,120,1,Mathematics,GL11 Mathematics and Economics BSc,int,,,,,,,,,
David,Kent,295910770,0173 691 6608,4,120,2,Economics,L160 Economics and International Economics BSc,int,,,Tier4,,,,,,
Amina,Sharif,271736317,0904 690 8348,4,120,3,Economics,L100 Economics BSc,int,,,Tier4,,,,,,
James,Cranston,298761347,0704 893 7011,6,118,2,Economics,L100 Economics BSc,int,,,Tier4,,,,,,
Lauren,Kearney,225416734,0720 733 5904,7,118,2,Mathematics,GL11 Mathematics and Economics BSc,int,,,,,,,,,
Linda,Robinson,214340935,0963 652 9623,7,118,1,Economics,LV15 Economics and Philosophy BA,int,,,Tier4,,,,,,
Susan,Embery,285416545,0890 454 4410,8,45,2,Economics,L160 Economics and International Economics BSc,int,,,,,,,,,
Joan,Lawn,212998723,0519 482 9870,8,45,3,Economics,L100 Economics BSc,int,,,Tier4,,,,,,
Ian,Stirling,201256966,0117 625 6740,9,45,1,Mathematics,GL11 Mathematics and Economics BSc,int,,,Tier4,,,,,,
Anna,Farr,298708446,0875 241 2616,12,90,1,Economics,L100 Economics BSc,int,,,Tier4,,,,,,
Catherine,Madigan,253943230,0946 409 7003,14,90,3,Mathematics,GL11 Mathematics and Economics BSc,int,,,Tier4,,,,,,
Lesley,Sutton,242380859,0522 559 8764,22,90,2,Economics,LV15 Economics and Philosophy BA,int,,,Tier4,,,,,,
Sonia,Bolger,251037613,0129 022 8747,30,0,2,Economics,L160 Economics and International Economics BSc,int,,,Tier4,,,,,,
Mg,Frost,286371026,0341 832 6221,35,0,3,Economics,L100 Economics BSc,int,,,Tier4,,,,,,
John,Meikle,257130975,0562 790 3185,35,0,3,Mathematics,GL11 Mathematics and Economics BSc,int,,,Tier4,,,,,,
Bhavik,Vyas,209531913,0521 325 6495,35,0,3,Mathematics,GL11 Mathematics and Economics BSc,int,,,Tier4,,,,,,
